id,comment_text,harmful_label_binary,clear_text,clear_text_sw,clear_text_spell,txt_len,cap_n,cap_mean,num_n,num_mean,sen_n
d480ba525e2965e4,"Thanks but please reblock me, i have no desire to take part on a site which allows a person to be linked to perverted websites, criminals, and racism. None of it has been deleted as i can see it in petris history still. You can block me for abusing multipile accounts or making personal attacks, or block evasion i don`t give a fuck, just get this done and delete that shit that has been associated with my name please",1,Thanks but please reblock me i have no desire to take part on a site which allows a person to be linked to perverted websites criminals and racism None of it has been deleted as i can see it in petris history still You can block me for abusing multipile accounts or making personal attacks or block evasion i don t give a fuck just get this done and delete that shit that has been associated with my name please,Thanks please reblock desire take part site allows person linked perverted websites criminals racism None deleted see petris history still You block abusing multipile accounts making personal attacks block evasion give fuck get done delete shit associated name please,Thanks please block desire take part site allows person linked perverted websites criminals racism None deleted see petrie history still You block abusing multipile accounts making personal attacks block evasion give fuck get done delete shit associated name please,39,0,0.0,0,0.0,3
b1fe3728737d7f38,"""

 hi 

  hi hi, i created correctly, then why deletion link this article.   """,0,hi hi hi i created correctly then why deletion link this article,hi hi hi created correctly deletion link article,i i i created correctly deletion link article,8,0,0.0,0,0.0,4
e9c302eeb13b083d,"unblock|its MY TALK PAGE . HELLO CAN YOU NOT SEE THAT. I AM SHELBY YOUNG AND I WANT MY NAME OFF THIS WEBSITE AND PER JIM WALES I CAN REMOVE BOTH THE IP ADDRESS AND MY TALK PAGE SO GTFO.
Blocking me won't do anything but make me call Jim. I suggest you read his talk page.

Sick of pervert child molestors stalking me around wikipedia.",1,unblock its MY TALK PAGE HELLO CAN YOU NOT SEE THAT I AM SHELBY YOUNG AND I WANT MY NAME OFF THIS WEBSITE AND PER JIM WALES I CAN REMOVE BOTH THE IP ADDRESS AND MY TALK PAGE SO GTFO Blocking me won t do anything but make me call Jim I suggest you read his talk page Sick of pervert child molestors stalking me around wikipedia,unblock MY TALK PAGE HELLO CAN YOU NOT SEE THAT I AM SHELBY YOUNG AND I WANT MY NAME OFF THIS WEBSITE AND PER JIM WALES I CAN REMOVE BOTH THE IP ADDRESS AND MY TALK PAGE SO GTFO Blocking anything make call Jim I suggest read talk page Sick pervert child molestors stalking around wikipedia,unblock MY TALK PAGE HELLO CAN YOU NOT SEE THAT I AM SHELBY YOUNG AND I WANT MY NAME OFF THIS WEBSITE AND PER JIM WALES I CAN REMOVE BOTH THE IN ADDRESS AND MY TALK PAGE SO TO Blocking anything make call Jim I suggest read talk page Sick pervert child molestors stalking around wikipedia,56,39,0.6964285714285714,0,0.0,6
1a231de82186755c,wikipedia doesn't have any rules against blasphemy. lets leave the template in the article until the TfD you started is concluded. cheers,0,wikipedia doesn t have any rules against blasphemy lets leave the template in the article until the TfD you started is concluded cheers,wikipedia rules blasphemy lets leave template article TfD started concluded cheers,wikipedia rules blasphemy lets leave template article TeD started concluded cheers,11,0,0.0,0,0.0,3
8c9d9ce77823cef6,You can't ban me aha!,1,You can t ban me aha,You ban aha,You ban aha,3,0,0.0,0,0.0,1
3a8a15fd15ac482a,"The article John Lee (Musician) has been speedily deleted from Wikipedia. This was done because the article seemed to be about a person, group of people, band, club, company, or web content, but it did not indicate how or why the subject is notable, that is, why an article about that subject should be included in Wikipedia. Under the criteria for speedy deletion, articles that do not assert notability may be deleted at any time. If you can indicate why the subject is really notable, you are free to re-create the article, making sure to cite any verifiable sources.

Please see the guidelines for what is generally accepted as notable, and for specific types of articles, you may want to check out our criteria for biographies, for web sites, for bands, or for companies. Feel free to leave a note on my talk page if you have any questions about this.",0,The article John Lee Musician has been speedily deleted from Wikipedia This was done because the article seemed to be about a person group of people band club company or web content but it did not indicate how or why the subject is notable that is why an article about that subject should be included in Wikipedia Under the criteria for speedy deletion articles that do not assert notability may be deleted at any time If you can indicate why the subject is really notable you are free to re create the article making sure to cite any verifiable sources Please see the guidelines for what is generally accepted as notable and for specific types of articles you may want to check out our criteria for biographies for web sites for bands or for companies Feel free to leave a note on my talk page if you have any questions about this,The article John Lee Musician speedily deleted Wikipedia This done article seemed person group people band club company web content indicate subject notable article subject included Wikipedia Under criteria speedy deletion articles assert notability may deleted time If indicate subject really notable free create article making sure cite verifiable sources Please see guidelines generally accepted notable specific types articles may want check criteria biographies web sites bands companies Feel free leave note talk page questions,The article John Lee Musician speedily deleted Wikipedia This done article seemed person group people band club company web content indicate subject notable article subject included Wikipedia Under criteria speedy deletion articles assert notability may deleted time If indicate subject really notable free create article making sure cite verifiable sources Please see guidelines generally accepted notable specific types articles may want check criteria biographies web sites bands companies Feel free leave note talk page questions,75,0,0.0,0,0.0,6
221e56a1c15ab929,"Rlevse, you really are a racist you know. Also, I'm Not even an Arab! lol Furthermore, Do not put words in my mouth. GOT IT?? Your just so blinded by your hatred its incredible and laughable. )",1,Rlevse you really are a racist you know Also I m Not even an Arab lol Furthermore Do not put words in my mouth GOT IT Your just so blinded by your hatred its incredible and laughable,Rlevse really racist know Also I Not even Arab lol Furthermore Do put words mouth GOT IT Your blinded hatred incredible laughable,Please really racist know Also I Not even Arab low Furthermore Do put words mouth GOT IT Your blinded hatred incredible laughable,22,3,0.13636363636363635,0,0.0,6
0d17ad5df146d4f2,"i lookd back in history when it was put it had link 2 extern gc site, sum1 removed that link so ur a fucking liar about no source.",1,i lookd back in history when it was put it had link 2 extern gc site sum1 removed that link so ur a fucking liar about no source,lookd back history put link 2 extern gc site sum1 removed link ur fucking liar source,look back history put link a extern go site sum1 removed link or fucking liar source,16,0,0.0,0,0.0,1
06aa9b7bb2e019b5,"I'll be back!! 

From now on SJP, or shithead as I will call you from now on, I am going to make your on-line activities on wikipedia a living hell. You should have stayed out of my business!!!!",1,I ll be back From now on SJP or shithead as I will call you from now on I am going to make your on line activities on wikipedia a living hell You should have stayed out of my business,I back From SJP shithead I call I going make line activities wikipedia living hell You stayed business,I back From SEP shithead I call I going make line activities wikipedia living hell You stayed business,18,4,0.2222222222222222,0,0.0,4
aabdf9074d05c4d8,"lol 

lol you're a nerd! lol",1,lol lol you re a nerd lol,lol lol nerd lol,low low nerd low,4,0,0.0,0,0.0,3
